NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT04885504,Post COVID-19 Biorepository,https://clinicaltrials.gov/study/NCT04885504,RECRUITING,Coronavirus Infection,,University of Kansas Medical Center,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04445454,Mesenchymal Stromal Cell Therapy for Severe Covid-19 Infection,https://clinicaltrials.gov/study/NCT04445454,RECRUITING,Coronavirus Infection,BIOLOGICAL: Mesenchymal stromal cells,University of Liege,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04659135,ASCO Survey on COVID-19 in Oncology (ASCO) Registry,https://clinicaltrials.gov/study/NCT04659135,ACTIVE_NOT_RECRUITING,Neoplasms|Coronavirus,,American Society of Clinical Oncology,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05684549,Coronavirus Infection (COVID-19) and Radical Surgery in Patients With Early-stage Lung Cancer,https://clinicaltrials.gov/study/NCT05684549,ACTIVE_NOT_RECRUITING,Surgery|Corona Virus Infection,OTHER: No intervention,Ruijin Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06667700,A Clinical Study of Molnupiravir to Prevent Severe Illness From Coronavirus Disease 2019 (COVID-19) in People Who Are High Risk (MK-4482-023),https://clinicaltrials.gov/study/NCT06667700,RECRUITING,Coronavirus Disease (COVID-19),DRUG: Molnupiravir|DRUG: Placebo,Merck Sharp & Dohme LLC,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04335084,"A Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection",https://clinicaltrials.gov/study/NCT04335084,ACTIVE_NOT_RECRUITING,COVID-19|Coronavirus Infection|Sars-CoV2|Corona Virus Infection|COVID|Coronavirus|Coronavirus-19|Coronavirus 19,DRUG: Hydroxychloroquine|DIETARY_SUPPLEMENT: Vitamin C|DIETARY_SUPPLEMENT: Vitamin D|DIETARY_SUPPLEMENT: Zinc,ProgenaBiome,DSCS CRO,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04824443,Exercise Therapy in Cancer Patients Who Are Recovering From COVID-19,https://clinicaltrials.gov/study/NCT04824443,ACTIVE_NOT_RECRUITING,Covid19|Coronavirus|Cancer,OTHER: Aerobic Exercise Therapy,Memorial Sloan Kettering Cancer Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04797091,Kidney in Coronavirus Disease 2019 Registry,https://clinicaltrials.gov/study/NCT04797091,RECRUITING,Corona Virus Infection|SARS-CoV 2,OTHER: Retrospective data collection,University of Cologne,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06223945,Thrombohemorrhagic Complications of COVID-19,https://clinicaltrials.gov/study/NCT06223945,ACTIVE_NOT_RECRUITING,COVID-19 (Coronavirus Disease 2019),DIAGNOSTIC_TEST: Prevention algorithm,Volgograd State Medical University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05074420,A Study of Baricitinib (LY3009104) in Children With COVID-19,https://clinicaltrials.gov/study/NCT05074420,RECRUITING,Covid19|Corona Virus Infection,DRUG: Baricitinib,Eli Lilly and Company,,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT04510025,Capturing MultiORgan Effects of COVID-19,https://clinicaltrials.gov/study/NCT04510025,RECRUITING,Coronavirus Infection|Multi-Organ Disorder,DIAGNOSTIC_TEST: Magnetic Resonance Imaging,University of Oxford,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04573062,Natural History of Post-Coronavirus Disease 19 Convalescence at the National Institutes of Health,https://clinicaltrials.gov/study/NCT04573062,RECRUITING,Post-Coronavirus Disease 19,,National Institute of Neurological Disorders and Stroke (NINDS),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04382846,Novel Regimens in COVID-19 Treatment,https://clinicaltrials.gov/study/NCT04382846,RECRUITING,COVID|Corona Virus Infection,DRUG: Nitazoxanide,Tanta University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04376034,Convalescent Plasma Collection and Treatment in Pediatrics and Adults,https://clinicaltrials.gov/study/NCT04376034,RECRUITING,COVID19|Coronavirus Infection|Coronavirus|Virus Diseases|RNA Virus Infections,BIOLOGICAL: Convalescent Plasma 1 Unit|BIOLOGICAL: Convalescent Plasma 2 Units|OTHER: Standard of Care,West Virginia University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04772170,Observational Digital Biomarker Discovery in Respiratory Virus Challenge Studies,https://clinicaltrials.gov/study/NCT04772170,RECRUITING,Influenza|Respiratory Virus|Coronavirus,,National Institute of Allergy and Infectious Diseases (NIAID),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06631287,Randomized Double-Blind Placebo-Controlled Trial EValuating Baricitinib on PERSistent NEurologic and Cardiopulmonary Symptoms of Long COVID,https://clinicaltrials.gov/study/NCT06631287,RECRUITING,Long COVID|Sars-CoV-2 Infection|Coronavirus Infections|COVID-19,DRUG: Baricitinib|OTHER: Placebo,Wes Ely,National Institutes of Health (NIH)|National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04448145,Determinants of SARS (Severe Acute Respiratory Syndrome)-COV2 (COVID-19) Persistence After Convalescence,https://clinicaltrials.gov/study/NCT04448145,RECRUITING,COVID-19|Corona Virus Infection|SARS-CoV 2,,Columbia University,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04727424,Repurposed Approved and Under Development Therapies for Patients With Early-Onset COVID-19 and Mild Symptoms,https://clinicaltrials.gov/study/NCT04727424,RECRUITING,Covid19|SARS-Associated Coronavirus,DIETARY_SUPPLEMENT: Spirulin Platensis|DRUG: Budesonide Powder|DRUG: Fluoxetine 20 MG|DRUG: Placebo,Cardresearch,Cytel Inc.|McMaster University|Fastgrants|Eiger BioPharmaceuticals|RainWater Foundation,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04359836,A Study to Explore the Role of Gut Flora in COVID-19 Infection,https://clinicaltrials.gov/study/NCT04359836,RECRUITING,Gut Microbiome|Gastrointestinal Microbiome|COVID|COVID-19|Corona Virus Infection|Coronavirus|Coronaviridae Infections|Coronavirus 19|Coronavirus-19|COVID 19,OTHER: There is no intervention in this study,ProgenaBiome,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05160636,A Study to Look at the Health Outcomes of Patients With COVID-19 and Influenza,https://clinicaltrials.gov/study/NCT05160636,RECRUITING,COVID-19|Coronavirus Disease 2019|Influenza,BIOLOGICAL: COVID-19 Vaccine,Pfizer,CVS Caremark,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04625257,"COVID-19 in Baselland: Validation of Simple and Accurate Tests for COVID-19 Detection, Monitoring and Tracing (ACCURATE-BL-COVID-19)",https://clinicaltrials.gov/study/NCT04625257,RECRUITING,Coronavirus Infectious Disease 2019 (COVID-19),OTHER: Saliva based assay: crude RNA extraction|OTHER: Validation of the NGS method|OTHER: Validation of the LAMP assays|OTHER: Validation of the POCT Antigen and Antibody tests,"University Hospital, Basel, Switzerland","ETH Zurich Department for Biosystems, Science and Engineering|Kanton Basel- Landschaft",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04579588,Understanding Immunity to the Flu Vaccine in COVID-19 Patients,https://clinicaltrials.gov/study/NCT04579588,RECRUITING,Corona Virus Infection|Flu Vaccine|Immunity,BIOLOGICAL: Flu shot,Stanford University,National Institute of Allergy and Infectious Diseases (NIAID),ALL,"CHILD, ADULT",OBSERVATIONAL
NCT06821061,A Study to Learn About How the Flu and COVID-19 Vaccines Act in Healthy People,https://clinicaltrials.gov/study/NCT06821061,RECRUITING,Influenza|COVID-19 (Coronavirus Disease 2019),BIOLOGICAL: Investigational Influenza Vaccine|BIOLOGICAL: Investigational COVID-19 Vaccine|COMBINATION_PRODUCT: Investigational Influenza and COVID-19 Combination Vaccine|BIOLOGICAL: Licensed Influenza Vaccine 1|BIOLOGICAL: Licensed Influenza Vaccine 2|BIOLOGICAL: Licensed Influenza Vaccine 3|BIOLOGICAL: Licensed COVID-19 Vaccine,BioNTech SE,Pfizer,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05726084,"Immunogenicity, Efficacy and Safety Trial of the Convacell Vaccine in Healthy Volunteers Aged 18 Years and Older",https://clinicaltrials.gov/study/NCT05726084,ACTIVE_NOT_RECRUITING,COVID-19|Coronavirus Infections|Respiratory Tract Infections|COVID-19 Respiratory Infection,BIOLOGICAL: Subunit recombinant vaccine for the prevention of coronavirus infection|BIOLOGICAL: Placebo,St. Petersburg Research Institute of Vaccines and Sera,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06099795,Evaluation of Concordance Between Exhaled Air Test (eBAM-CoV) and RT-PCR to Detect SARS-CoV-2,https://clinicaltrials.gov/study/NCT06099795,RECRUITING,SARS-CoV-2 Infection|COVID-19|Coronavirus,DEVICE: eBAM Cov Testing,Centre Hospitalier Universitaire de Nīmes,"University of Nimes|brains' laboratory sas, FRANCE",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04388605,Assessing the Safety of Pregnancy In the CoRonavirus (COVID-19) pandEmic,https://clinicaltrials.gov/study/NCT04388605,ACTIVE_NOT_RECRUITING,Corona Virus Infection|COVID|Pregnancy Related|Early Pregnancy,,"University of California, San Francisco",,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04602260,Functional Recovery of Hospitalised Patients With COVID-19: The COREG Extension Study,https://clinicaltrials.gov/study/NCT04602260,ACTIVE_NOT_RECRUITING,Covid19|Corona Virus Infection|Mobility Limitation|Frailty,,McMaster University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04371315,"Risk Factors, Clinical Characteristics and Outcomes of Acute Infection With Coronavirus 2019 (COVID-19) In Children",https://clinicaltrials.gov/study/NCT04371315,RECRUITING,Corona Virus Infection|Pediatric Cancer|Adult Children|Cancer,,St. Jude Children's Research Hospital,,ALL,"CHILD, ADULT",OBSERVATIONAL
NCT04568148,COVID-19 Biorepository,https://clinicaltrials.gov/study/NCT04568148,ACTIVE_NOT_RECRUITING,Covid-19|SARS-CoV 2|Coronavirus|COVID,,University of Kansas Medical Center,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04910269,Outpatient Treatment With Anti-Coronavirus Immunoglobulin,https://clinicaltrials.gov/study/NCT04910269,RECRUITING,COVID|SARS-CoV2 Infection|Covid19,BIOLOGICAL: Hyperimmune immunoglobulin to SARS-CoV-2 (hIVIG)|OTHER: Placebo,University of Minnesota,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health (NIH)|International Network for Strategic Initiatives in Global HIV Trials (INSIGHT),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04462367,Northeast COVID-19 and Pregnancy Study Group,https://clinicaltrials.gov/study/NCT04462367,ACTIVE_NOT_RECRUITING,COVID19|Coronavirus Infection|Pregnancy Disease|Severe Acute Respiratory Syndrome,,Instituto Materno Infantil Prof. Fernando Figueira,,FEMALE,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06409663,A Strain Change Study for SARS-CoV-2 rS Vaccines,https://clinicaltrials.gov/study/NCT06409663,ACTIVE_NOT_RECRUITING,Severe Acute Respiratory Syndrome Coronavirus 2 Infection,BIOLOGICAL: NVX-CoV2705 Vaccine,Novavax,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05188612,International Survey of Acute Coronavirus Syndromes-COVID-19,https://clinicaltrials.gov/study/NCT05188612,RECRUITING,COVID-19,COMBINATION_PRODUCT: Observational (registry),University of Bologna,Associazione Per La Ricerca Cardiologica (Roma),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04362150,Long-term Impact of Infection With Novel Coronavirus (COVID-19),https://clinicaltrials.gov/study/NCT04362150,RECRUITING,COVID,,"University of California, San Francisco",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04330521,Impact of the Coronavirus (COVID-19) on Patients With Cancer,https://clinicaltrials.gov/study/NCT04330521,RECRUITING,Cancer|COVID-19,,Stanford University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06161454,Xofluza-Wearables Feasibility-Study,https://clinicaltrials.gov/study/NCT06161454,RECRUITING,"Infection, Coronavirus|Infections|Influenza|Transplant|Infection Viral",DRUG: Baloxavir Marboxil,Children's Hospital of Philadelphia,"Genentech, Inc.",ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04360538,Long Term Outcomes of Patients With COVID-19,https://clinicaltrials.gov/study/NCT04360538,ACTIVE_NOT_RECRUITING,Critical Illness|Corona Virus Infection|Respiratory Failure|Covid-19,OTHER: Quality of Life|OTHER: Impact Event Score|OTHER: Hospital anxiety and depression scale,University of Chicago,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05293431,Promote Brain Resilience for the Coronavirus (COVID-19) Pandemic,https://clinicaltrials.gov/study/NCT05293431,ACTIVE_NOT_RECRUITING,"Transcranial Direct Current Stimulation|Mental Health Issue|Public Health|Resilience, Psychological|COVID-19",OTHER: Transcranial Alternate Current Stimulation|OTHER: Sham stimulation,Institut Guttmann,University of Barcelona,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04497779,Analysis of Coronavirus Disease 19 (COVID-19) Convalescent Plasma,https://clinicaltrials.gov/study/NCT04497779,ACTIVE_NOT_RECRUITING,Asymptomatic COVID-19 Infection Laboratory-Confirmed|Symptomatic COVID-19 Infection Laboratory-Confirmed,PROCEDURE: Biospecimen Collection|OTHER: Diagnostic Laboratory Biomarker Analysis|OTHER: Electronic Health Record Review|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI)|California Institute for Regenerative Medicine (CIRM),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04610515,Innovative Support for Patients with SARS-COV2 Infections (COVID-19) Registry (INSPIRE),https://clinicaltrials.gov/study/NCT04610515,ACTIVE_NOT_RECRUITING,Covid19|ME/CFS|SARS COV2|Novel Coronavirus Infection|Neurocognitive Disorders|Cardiovascular Diseases,,Rush University Medical Center,"Yale University|University of Washington|Thomas Jefferson University|University of California, Los Angeles|University of California, San Francisco|University of Texas Southwestern Medical Center|The University of Texas Health Science Center, Houston",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05534074,University Hospital of Ioannina COVID-19 (Coronavirus Disease 2019) Registry,https://clinicaltrials.gov/study/NCT05534074,RECRUITING,COVID-19 (Coronavirus Disease 2019)|COVID-19 Pandemic|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19-Associated Thromboembolism|COVID-19-Associated Pneumonia|COVID 19 Associated Coagulopathy,,"University Hospital, Ioannina",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04321993,Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients,https://clinicaltrials.gov/study/NCT04321993,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: Baricitinib (janus kinase inhibitor)|DRUG: Remdesivir (antiviral) + barictinib (janus kinase inhibitor)|DRUG: Remdesivir (antiviral)|DRUG: Tocilizumab (interleukin 6 inhibitor),Lisa Barrett,Nova Scotia Health Authority|Dalhousie University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05193526,COronaVirus Induced Acute Respiratory Disease Syndrome During PREGnancy,https://clinicaltrials.gov/study/NCT05193526,ACTIVE_NOT_RECRUITING,Acute Respiratory Distress Syndrome Related to SARS-CoV-2,OTHER: No intervention,Centre Hospitalier Intercommunal Creteil,,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05065632,Seroepidemiological Investigation of Coronavirus 2019 (COVID-19) Infection in Gabon,https://clinicaltrials.gov/study/NCT05065632,RECRUITING,Laboratory Confirmed SARS-CoV-2 Infection Without Symptoms,DIAGNOSTIC_TEST: Wantai kit Elisa,Prof. Ayola Akim ADEGNIKA,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04522076,Prospective Hospital Registry of Patients With Suspected or Confirmed Coronavirus Infection (COVID-19) and Community-acquired Pneumonia,https://clinicaltrials.gov/study/NCT04522076,ACTIVE_NOT_RECRUITING,COVID 19,,National Research Center for Preventive Medicine,National Medical and Surgical Center named after N.I. Pirogov of the Ministry of Healthcare of the Russian Federation,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05682612,Prognostic Value of PtcO2 in Patients With COVID-19,https://clinicaltrials.gov/study/NCT05682612,RECRUITING,COVID-19 Acute Respiratory Distress Syndrome,OTHER: outcome|OTHER: Subtype of COVID-19,"Southeast University, China",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06204393,To Investigate the Effect of 2019 Novel Coronavirus Infection on the Condition of Patients With Hyperthyroidism,https://clinicaltrials.gov/study/NCT06204393,RECRUITING,Graves Disease|COVID-19,OTHER: Thyroid metabolic index,Qilu Hospital of Shandong University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04895475,Antibody Detection of Vaccine-Induced Secretory Effects,https://clinicaltrials.gov/study/NCT04895475,ACTIVE_NOT_RECRUITING,Covid19|Humoral Acquired Immunodeficiency|Coronavirus|SARS-CoV Infection,BEHAVIORAL: SARS-CoV-2 vaccine,"Children's Hospital Medical Center, Cincinnati",,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04900155,Evaluation of the Effect of Long-term Lipid-lowering Therapy in STEMI Patients With Coronavirus Infection COVID-19,https://clinicaltrials.gov/study/NCT04900155,ACTIVE_NOT_RECRUITING,STEMI|Covid19|NSTEMI,DRUG: Atorvastatin 80mg|DRUG: Atorvastatin-Ezetimibe,Penza State University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04636697,Study of a Recombinant Coronavirus-Like Particle COVID-19 Vaccine in Adults,https://clinicaltrials.gov/study/NCT04636697,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection,DRUG: Intramuscular injection|BIOLOGICAL: Intramuscular vaccine,Medicago,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06305793,"RECOVER-AUTONOMIC: Platform Protocol, Appendix A (IVIG)",https://clinicaltrials.gov/study/NCT06305793,RECRUITING,Long COVID|Long Coronavirus Disease 2019 (Covid19)|Long Covid-19,DRUG: IVIG (intravenous immunoglobulin)|DRUG: IVIG Placebo|BEHAVIORAL: Coordinated Care|BEHAVIORAL: Usual Care,Kanecia Obie Zimmerman,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04705766,KIDney Injury in Times of COVID-19 (KIDCOV),https://clinicaltrials.gov/study/NCT04705766,RECRUITING,SARS-CoV Infection|Covid19|Corona Virus Infection|Acute Kidney Injury|Kidney Injury,OTHER: Urine Collection,"University of California, San Francisco",Rush University Medical Center|University of Michigan|University of California,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05220280,SOLIDARITY Finland Plus Long-COVID,https://clinicaltrials.gov/study/NCT05220280,RECRUITING,Covid19|Coronavirus Disease 2019|SARS-CoV-2 Acute Respiratory Disease,DRUG: Imatinib|DRUG: Infliximab,Clinical Urology and Epidemiology Working Group,University of Helsinki|World Health Organization|Helsinki University Central Hospital|Hyvinkää Hospital|Kanta-Häme Central Hospital|Kuopio University Hospital|City of Helsinki|Oulu University Hospital|Porvoo Hospital|Seinajoki Central Hospital|Mikkeli Central Hospital|Tampere University Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04747366,"Analysis of the Pathophysiology and Pathology of Coronavirus Disease 2019 (COVID-19), Including Chronic Morbidity",https://clinicaltrials.gov/study/NCT04747366,RECRUITING,Covid19,,"Charite University, Berlin, Germany",Network University Medicine NUM|Berlin Institute of Health,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06667063,Clinical Study on the Immune Response Characteristics of Novel Coronavirus and Influenza Virus Infection,https://clinicaltrials.gov/study/NCT06667063,RECRUITING,COVID-19|Influenza,OTHER: Nasal swab/Nasopharyngeal swab/Blood sample collection|OTHER: Nasal swab/Nasopharyngeal swab/Blood draw|OTHER: Nasal swab/Nasopharyngeal swab/Blood draw,Zhongnan Hospital,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05543616,A Study to Learn About Variant-Adapted COVID-19 RNA Vaccine Candidate(s) in Healthy Children,https://clinicaltrials.gov/study/NCT05543616,RECRUITING,SARS-CoV-2 Virus|Severe Acute Respiratory Syndrome Coronavirus 2|COVID-19,BIOLOGICAL: Bivalent BNT162b2 (original/Omicron BA.4/BA.5) 3 microgram dose|BIOLOGICAL: Bivalent BNT162b2 (original/Omicron BA.4/BA.5) 6 microgram dose|BIOLOGICAL: Bivalent BNT162b2 (original/Omicron BA.4/BA.5) 10 microgram dose|BIOLOGICAL: Variant-adapted BNT162b2 (Omicron XBB.1.5) Substudy A Ph 2/3 Selected Dose|BIOLOGICAL: Variant-adapted BNT162b2 (Omicron XBB.1.5) 3 microgram dose|BIOLOGICAL: Variant-adapted BNT162b2 (Omicron XBB.1.5) 6 microgram dose|BIOLOGICAL: Variant-adapted BNT162b2 (Omicron XBB.1.5) 10 microgram dose,BioNTech SE,Pfizer,ALL,CHILD,INTERVENTIONAL
NCT04569851,Clinical Characteristics and Prognostic Factors of Patients With COVID-19 (Coronavirus Disease 2019),https://clinicaltrials.gov/study/NCT04569851,ACTIVE_NOT_RECRUITING,COVID-19 Infection,,Savana Research,Castilla-La Mancha Health Service,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05713279,Study of Flonoltinib Maleate Tablets in the Treatment of Severe Novel Coronavirus (COVID-19) Infection,https://clinicaltrials.gov/study/NCT05713279,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: SOC,"Chengdu Zenitar Biomedical Technology Co., Ltd",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05077332,LEAP-CT for Treatment of COVID-19 Patients (Master Protocol),https://clinicaltrials.gov/study/NCT05077332,ACTIVE_NOT_RECRUITING,2019 Novel Coronavirus Disease|2019 Novel Coronavirus Infection|2019-nCoV Disease|2019-nCoV Infection|COVID-19 Pandemic|COVID-19 Virus Disease|COVID-19 Virus Infection|Covid19|Coronavirus Disease 2019|SARS-CoV-2 Infection|SARS-CoV-2 Acute Respiratory Disease|COVID-19,DRUG: Famotidine|DRUG: Celecoxib|OTHER: Placebo,Leidos Life Sciences,United States Department of Defense,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06926517,"Life and Death Care, Reflection and Teaching Practice Integrating New Coronavirus Pneumonia Issues",https://clinicaltrials.gov/study/NCT06926517,ACTIVE_NOT_RECRUITING,Life and Death,OTHER: life and death courses,Chang Gung Memorial Hospital,,ALL,ADULT,INTERVENTIONAL
